path,n_frames,has_event_gt,wrong_raw,wrong_corr,rule_saved,gt_16dist,raw_fall_missed,raw_fall_as_fallen,raw_fallen_missed,raw_fallen_as_fall,raw_lying_event_fp,raw_other_normal_fp,corr_fall_missed,corr_fall_as_fallen,corr_fallen_missed,corr_fallen_as_fall,corr_lying_event_fp,corr_other_normal_fp
fallen/fallen_el_095,80,True,50,50,0,1:80,49,1,0,0,0,0,49,1,0,0,0,0
fallen/fallen_el_189,80,True,50,50,0,1:16 2:23 4:41,0,0,0,9,0,41,0,0,0,9,0,41
fallen/fallen_yo_170,80,True,50,50,0,1:9 2:71,0,0,44,6,0,0,0,0,44,6,0,0
lying/lying_to_127,80,False,50,50,0,6:80,0,0,0,0,50,0,0,0,0,0,50,0
fallen/fallen_to_042,80,True,49,49,0,1:6 2:74,0,0,41,8,0,0,0,0,41,8,0,0
fall/fall_yo_071,80,True,46,46,0,1:32 2:48,0,0,0,46,0,0,0,0,0,46,0,0
fallen/fallen_el_131,80,True,46,46,0,1:11 6:56 7:13,0,0,0,0,33,13,0,0,0,0,33,13
fall/fall_ch_028,80,True,45,45,0,1:19 9:61,0,0,0,0,0,45,0,0,0,0,0,45
fall/fall_to_029,80,True,44,44,0,0:8 1:9 2:4 4:8 7:51,0,0,0,4,0,40,0,0,0,4,0,40
fall/fall_yo_144,80,True,44,44,0,1:16 2:42 9:22,0,0,34,2,0,8,0,0,34,2,0,8
fall/fall_mi_024,80,True,43,43,0,1:29 2:51,0,0,0,43,0,0,0,0,0,43,0,0
lie_down/lie_down_yo_068,80,False,42,42,0,5:34 6:46,0,0,0,0,42,0,0,0,0,0,42,0
sit_down/sit_down_yo_120,80,False,41,41,0,0:11 3:26 4:43,0,0,0,0,0,41,0,0,0,0,0,41
stand_up/stand_up_yo_033,80,False,41,41,0,6:40 7:40,0,0,0,0,40,1,0,0,0,0,40,1
fall/fall_ch_097,80,False,40,40,0,9:80,0,0,0,0,0,40,0,0,0,0,0,40
fall/fall_ch_007,80,True,39,39,0,1:80,39,0,0,0,0,0,39,0,0,0,0,0
fall/fall_mi_089,80,True,39,39,0,1:29 2:17 7:34,0,5,0,0,0,34,0,5,0,0,0,34
fall/fall_te_060,80,True,39,39,0,1:30 2:50,0,0,10,29,0,0,0,0,10,29,0,0
fallen/fallen_te_183,80,True,39,39,0,0:10 1:24 2:46,0,0,9,20,0,10,0,0,9,20,0,10
fallen/fallen_yo_162,80,True,39,39,0,2:80,0,0,18,21,0,0,0,0,18,21,0,0
standing/standing_te_171,80,False,38,38,0,8:80,0,0,0,0,0,38,0,0,0,0,0,38
fall/fall_el_008,80,True,37,37,0,1:62 4:18,23,14,0,0,0,0,23,14,0,0,0,0
fall/fall_el_025,80,True,37,37,0,1:12 2:3 7:65,0,0,0,3,0,34,0,0,0,3,0,34
fall/fall_el_188,80,True,37,37,0,1:13 2:29 7:16 11:22,0,0,0,4,0,33,0,0,0,4,0,33
fall/fall_yo_147,80,True,37,37,0,1:27 7:31 9:22,16,0,0,0,0,21,16,0,0,0,0,21
sitting/sitting_ch_054,80,False,37,37,0,4:80,0,0,0,0,0,37,0,0,0,0,0,37
fall/fall_ch_019,80,True,36,36,0,1:57 9:23,15,0,0,0,0,21,15,0,0,0,0,21
fall/fall_mi_121,80,True,36,36,0,1:43 2:23 7:14,0,0,0,22,0,14,0,0,0,22,0,14
fall/fall_to_089,80,True,36,36,0,1:21 2:59,0,3,33,0,0,0,0,3,33,0,0,0
fall/fall_mi_021,80,True,35,35,0,1:14 2:16 4:24 7:26,0,0,0,16,0,19,0,0,0,16,0,19
fallen/fallen_te_090,80,True,34,34,0,1:18 2:21 7:41,13,0,21,0,0,0,13,0,21,0,0,0
sit_down/sit_down_te_118,80,False,34,34,0,3:57 4:23,0,0,0,0,0,34,0,0,0,0,0,34
fall/fall_to_022,80,True,33,33,0,1:45 2:35,0,0,0,33,0,0,0,0,0,33,0,0
lie_down/lie_down_ch_174,80,False,33,33,0,5:50 6:30,0,0,0,0,33,0,0,0,0,0,33,0
fall/fall_yo_134,80,True,32,32,0,0:11 1:18 7:51,0,0,0,0,0,32,0,0,0,0,0,32
fallen/fallen_te_077,80,True,32,32,0,1:21 7:44 11:15,0,0,0,0,0,32,0,0,0,0,0,32
fall/fall_te_112,80,True,30,30,0,0:12 1:24 2:44,0,0,0,18,0,12,0,0,0,18,0,12
fall/fall_yo_122,80,True,30,30,0,1:17 2:36 7:27,0,0,0,14,0,16,0,0,0,14,0,16
fallen/fallen_to_168,80,True,30,30,0,2:80,0,0,8,22,0,0,0,0,8,22,0,0
other/other_mi_164,80,False,30,30,0,9:80,0,0,0,0,0,30,0,0,0,0,0,30
fall/fall_el_042,80,True,29,29,0,1:80,29,0,0,0,0,0,29,0,0,0,0,0
fall/fall_yo_130,80,True,29,29,0,1:28 2:52,0,0,17,12,0,0,0,0,17,12,0,0
sit_down/sit_down_te_026,80,False,29,29,0,3:36 4:44,0,0,0,0,0,29,0,0,0,0,0,29
fall/fall_te_052,80,True,28,28,0,1:41 2:14 7:25,9,1,0,7,0,11,9,1,0,7,0,11
fall/fall_te_172,80,True,28,28,0,1:19 4:24 9:37,12,0,0,0,0,16,12,0,0,0,0,16
fall/fall_yo_189,80,True,28,28,0,1:29 5:19 6:17 7:15,0,0,0,0,18,10,0,0,0,0,18,10
fall/fall_yo_194,80,True,28,28,0,1:35 2:11 7:15 9:19,0,0,0,11,0,17,0,0,0,11,0,17
fall/fall_ch_044,80,True,27,27,0,1:50 7:14 9:16,0,10,0,0,0,17,0,10,0,0,0,17
fall/fall_yo_128,80,True,27,27,0,1:21 9:59,6,0,0,0,0,21,6,0,0,0,0,21
fallen/fallen_te_033,80,True,27,27,0,1:80,0,27,0,0,0,0,0,27,0,0,0,0
fall/fall_mi_035,80,True,26,26,0,1:52 2:16 7:12,0,22,0,0,0,4,0,22,0,0,0,4
fall/fall_to_137,80,True,26,26,0,1:79 2:1,25,0,0,1,0,0,25,0,0,1,0,0
fallen/fallen_mi_147,80,True,26,26,0,1:22 2:23 7:35,0,0,0,1,0,25,0,0,0,1,0,25
fallen/fallen_mi_114,80,True,25,25,0,1:9 2:71,0,0,0,25,0,0,0,0,0,25,0,0
fallen/fallen_mi_130,80,True,25,25,0,2:80,0,0,15,10,0,0,0,0,15,10,0,0
fall/fall_ch_036,80,True,24,24,0,1:12 2:4 7:24 11:40,0,0,0,4,0,20,0,0,0,4,0,20
fallen/fallen_mi_034,80,True,24,24,0,1:19 2:61,0,0,20,4,0,0,0,0,20,4,0,0
fallen/fallen_mi_047,80,True,24,24,0,1:13 2:49 7:18,0,0,0,6,0,18,0,0,0,6,0,18
fall/fall_ch_153,80,True,23,23,0,1:52 4:13 9:15,5,17,0,0,0,1,5,17,0,0,0,1
fall/fall_te_151,80,True,23,23,0,1:80,23,0,0,0,0,0,23,0,0,0,0,0
fallen/fallen_te_075,80,True,23,23,0,1:25 4:21 7:34,0,0,0,0,0,23,0,0,0,0,0,23
fall/fall_te_002,80,True,22,22,0,1:35 2:17 7:28,0,0,11,6,0,5,0,0,11,6,0,5
fallen/fallen_mi_005,80,True,22,22,0,1:23 2:57,0,2,0,20,0,0,0,2,0,20,0,0
fallen/fallen_to_089,80,True,22,22,0,1:13 2:67,0,0,0,22,0,0,0,0,0,22,0,0
sit_down/sit_down_te_016,80,False,22,22,0,3:38 4:42,0,0,0,0,0,22,0,0,0,0,0,22
stand_up/stand_up_ch_065,80,False,22,22,0,7:30 8:50,0,0,0,0,0,22,0,0,0,0,0,22
stand_up/stand_up_ch_087,80,False,22,22,0,0:26 7:19 8:35,0,0,0,0,0,22,0,0,0,0,0,22
fall/fall_mi_135,80,True,21,21,0,1:59 12:21,0,0,0,0,0,21,0,0,0,0,0,21
fallen/fallen_el_090,80,True,21,21,0,0:19 1:20 2:41,0,0,0,17,0,4,0,0,0,17,0,4
fallen/fallen_mi_013,80,True,28,21,7,1:12 2:48 6:20,0,0,6,2,20,0,0,0,6,2,13,0
other/other_el_092,80,False,21,21,0,9:80,0,0,0,0,0,21,0,0,0,0,0,21
fall/fall_ch_054,80,True,20,20,0,1:47 8:33,20,0,0,0,0,0,20,0,0,0,0,0
