[1] 加载 facebook/dinov2-giant(fp16) + LoRA(r=16) + Phase6 bridge 头
  梯度 checkpointing: True
  可训练参数: 10.82M (LoRA + 时序头；主干冻结 fp16)
[2] 窗口数据集: data/p9e1_frames (window=64, stride=16)
  训练视频: 2000 | 窗口: 4000 | 类权重 fall/fallen/normal: [1.336, 1.532, 0.132]
step 2750 | loss 0.2154 | fall/fallen/normal acc 0.832/0.879/0.973 | lr 1.00e-04
step 2800 | loss 0.2227 | fall/fallen/normal acc 0.926/0.737/0.964 | lr 1.00e-04
step 2850 | loss 0.3660 | fall/fallen/normal acc 0.826/0.798/0.950 | lr 1.00e-04
step 2900 | loss 0.2065 | fall/fallen/normal acc 0.582/0.862/0.982 | lr 1.00e-04
step 2950 | loss 0.5104 | fall/fallen/normal acc 0.686/0.685/0.956 | lr 1.00e-04
step 3000 | loss 0.3741 | fall/fallen/normal acc 0.657/0.867/0.986 | lr 1.00e-04
[VAL] step 3000 | f1 0.7363 | fallen prec 0.9101 rec 0.3985 | train_loss 0.2817
step 3050 | loss 0.3234 | fall/fallen/normal acc 0.843/0.658/0.972 | lr 1.00e-04
step 3100 | loss 0.5082 | fall/fallen/normal acc 0.742/0.572/0.971 | lr 1.00e-04
step 3150 | loss 0.2579 | fall/fallen/normal acc 0.801/0.900/0.956 | lr 1.00e-04
step 3200 | loss 0.1494 | fall/fallen/normal acc 0.851/0.791/0.988 | lr 1.00e-04
step 3250 | loss 0.2567 | fall/fallen/normal acc 0.712/0.780/0.977 | lr 1.00e-04
step 3300 | loss 0.2186 | fall/fallen/normal acc 0.769/0.834/0.972 | lr 1.00e-04
step 3350 | loss 0.1907 | fall/fallen/normal acc 0.912/0.827/0.966 | lr 1.00e-04
step 3400 | loss 0.2296 | fall/fallen/normal acc 0.793/0.709/0.970 | lr 1.00e-04
step 3450 | loss 0.4731 | fall/fallen/normal acc 0.629/0.851/0.985 | lr 1.00e-04
step 3500 | loss 0.1813 | fall/fallen/normal acc 0.902/0.791/0.978 | lr 1.00e-04
step 3550 | loss 0.2306 | fall/fallen/normal acc 0.860/0.762/0.983 | lr 1.00e-04
step 3600 | loss 0.1349 | fall/fallen/normal acc 0.872/0.902/0.964 | lr 1.00e-04
[VAL] step 3600 | f1 0.7713 | fallen prec 0.7993 rec 0.5978 | train_loss 0.2629
step 3650 | loss 0.4778 | fall/fallen/normal acc 0.841/0.632/0.988 | lr 1.00e-04
step 3700 | loss 0.1149 | fall/fallen/normal acc 0.958/0.960/0.973 | lr 1.00e-04
step 3750 | loss 0.2273 | fall/fallen/normal acc 0.744/0.911/0.974 | lr 1.00e-04
step 3800 | loss 0.4491 | fall/fallen/normal acc 0.791/0.724/0.951 | lr 1.00e-04
step 3850 | loss 0.1527 | fall/fallen/normal acc 0.910/0.943/0.968 | lr 1.00e-04
step 3900 | loss 0.1960 | fall/fallen/normal acc 0.872/0.897/0.967 | lr 1.00e-04
step 3950 | loss 0.1078 | fall/fallen/normal acc 0.923/0.875/0.980 | lr 1.00e-04
step 4000 | loss 0.1933 | fall/fallen/normal acc 0.813/0.962/0.972 | lr 1.00e-04
[EPOCH 2] 完成，已存 epoch_2_model.pt
step 4050 | loss 0.1292 | fall/fallen/normal acc 0.946/0.747/0.987 | lr 1.00e-04
step 4100 | loss 0.2537 | fall/fallen/normal acc 0.710/0.881/0.963 | lr 1.00e-04
step 4150 | loss 0.2137 | fall/fallen/normal acc 0.806/0.975/0.976 | lr 1.00e-04
step 4200 | loss 0.1048 | fall/fallen/normal acc 0.917/0.848/0.986 | lr 1.00e-04
[VAL] step 4200 | f1 0.8128 | fallen prec 0.8260 rec 0.7122 | train_loss 0.1753
  [BEST] 新最优 f1=0.8128 → best_model.pt
step 4250 | loss 0.2172 | fall/fallen/normal acc 0.787/0.895/0.972 | lr 1.00e-04
step 4300 | loss 0.0980 | fall/fallen/normal acc 0.948/0.781/0.979 | lr 1.00e-04
step 4350 | loss 0.1518 | fall/fallen/normal acc 0.838/0.779/0.986 | lr 1.00e-04
step 4400 | loss 0.1761 | fall/fallen/normal acc 0.822/0.836/0.973 | lr 1.00e-04
step 4450 | loss 0.1498 | fall/fallen/normal acc 0.899/0.887/0.969 | lr 1.00e-04
step 4500 | loss 0.0942 | fall/fallen/normal acc 0.961/0.372/0.989 | lr 1.00e-04
step 4550 | loss 0.1204 | fall/fallen/normal acc 0.900/0.977/0.970 | lr 1.00e-04
step 4600 | loss 0.1321 | fall/fallen/normal acc 0.927/0.901/0.974 | lr 1.00e-04
step 4650 | loss 0.1028 | fall/fallen/normal acc 0.918/0.893/0.980 | lr 1.00e-04
step 4700 | loss 0.1984 | fall/fallen/normal acc 0.811/0.891/0.971 | lr 1.00e-04
step 4750 | loss 0.1498 | fall/fallen/normal acc 0.931/0.984/0.964 | lr 1.00e-04
step 4800 | loss 0.1020 | fall/fallen/normal acc 0.994/0.740/0.988 | lr 1.00e-04
[VAL] step 4800 | f1 0.7981 | fallen prec 0.7833 rec 0.7515 | train_loss 0.1411
step 4850 | loss 0.1128 | fall/fallen/normal acc 0.921/0.887/0.981 | lr 1.00e-04
step 4900 | loss 0.1274 | fall/fallen/normal acc 0.946/0.892/0.993 | lr 1.00e-04
step 4950 | loss 0.0973 | fall/fallen/normal acc 0.977/0.867/0.977 | lr 1.00e-04
step 5000 | loss 0.1678 | fall/fallen/normal acc 0.580/0.945/0.984 | lr 1.00e-04
step 5050 | loss 0.1309 | fall/fallen/normal acc 0.872/0.973/0.984 | lr 1.00e-04
step 5100 | loss 0.2270 | fall/fallen/normal acc 0.881/0.937/0.986 | lr 1.00e-04
step 5150 | loss 0.2101 | fall/fallen/normal acc 0.850/0.848/0.969 | lr 1.00e-04
step 5200 | loss 0.1318 | fall/fallen/normal acc 0.885/0.890/0.968 | lr 1.00e-04
step 5250 | loss 0.0703 | fall/fallen/normal acc 0.947/0.923/0.981 | lr 1.00e-04
step 5300 | loss 0.1018 | fall/fallen/normal acc 0.902/0.954/0.989 | lr 1.00e-04
